Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2019-06-09,14:00 (09:00),UEFA Nations League,Third-place match,Sun,Neutral,D,0 (5),0 (6),eng England,,,,"15,742",Granit Xhaka,3-4-3,Ovidiu Hațegan
2020-09-03,21:45 (14:45),UEFA Nations League,League A,Thu,Away,L,1,2,ua Ukraine,,,56,,Granit Xhaka,5-4-1,Andreas Ekberg
2020-09-06,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,1,1,de Germany,,,47,,Granit Xhaka,5-4-1,Michael Oliver
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,L,1,2,hr Croatia,,,,,Granit Xhaka,3-5-2,Tiago Martins
2020-10-10,20:45 (14:45),UEFA Nations League,League A,Sat,Away,L,0,1,es Spain,,,40,,Granit Xhaka,5-3-2,Ali Palabıyık
2020-10-13,20:45 (14:45),UEFA Nations League,League A,Tue,Away,D,3,3,de Germany,,,37,,Granit Xhaka,4-4-2,Ruddy Buquet
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,L,1,2,be Belgium,,,,,Granit Xhaka,3-4-1-2,Jérôme Brisard
2020-11-14,20:45 (14:45),UEFA Nations League,League A,Sat,Home,D,1,1,es Spain,,,29,,Granit Xhaka,4-4-1-1,William Collum
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,3,0,ua Ukraine,,,,,,,
2020-09-03,21:45 (14:45),UEFA Nations League,League A,Thu,Away,L,1,2,ua Ukraine,,,56,,Granit Xhaka,5-4-1,Andreas Ekberg
2020-09-06,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,1,1,de Germany,,,47,,Granit Xhaka,5-4-1,Michael Oliver
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,L,1,2,hr Croatia,,,,,Granit Xhaka,3-5-2,Tiago Martins
2020-10-10,20:45 (14:45),UEFA Nations League,League A,Sat,Away,L,0,1,es Spain,,,40,,Granit Xhaka,5-3-2,Ali Palabıyık
2020-10-13,20:45 (14:45),UEFA Nations League,League A,Tue,Away,D,3,3,de Germany,,,37,,Granit Xhaka,4-4-2,Ruddy Buquet
