Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-06-22,20:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,3,1,sct Scotland,1.0,1.4,66,"9,896",Luka Modrić,4-3-3,Fernando Rapallini
2021-06-28,18:00 (12:00),UEFA Euro,Round of 16,Mon,Neutral,L,3,5,es Spain,3.2,3.6,34,"22,771",Luka Modrić,4-3-3,Cüneyt Çakιr
2021-09-01,21:45 (14:45),WCQ,First round,Wed,Away,D,0,0,ru Russia,,,60,"18,708",Ivan Perišić,4-2-3-1,Roi Reinshreiber
2021-09-04,20:45 (14:45),WCQ,First round,Sat,Away,W,1,0,sk Slovakia,,,55,"9,047",Domagoj Vida,4-1-4-1,Bartosz Frankowski
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,3,0,si Slovenia,,,64,"16,237",Ivan Perišić,4-2-3-1,Clément Turpin
2021-10-08,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,cy Cyprus,,,75,"2,333",Luka Modrić,4-1-4-1,Michael Oliver
2021-10-11,20:45 (14:45),WCQ,First round,Mon,Home,D,2,2,sk Slovakia,,,69,"9,926",Luka Modrić,4-1-4-1,Ovidiu Hațegan
2021-11-11,20:45 (14:45),WCQ,First round,Thu,Away,W,7,1,mt Malta,,,67,"4,581",Luka Modrić,4-3-3,Deniz Aytekin
2021-11-14,15:00 (09:00),WCQ,First round,Sun,Home,W,1,0,ru Russia,,,68,"30,257",Luka Modrić,4-3-3,Danny Makkelie
2020-09-05,19:45 (14:45),UEFA Nations League,League A,Sat,Away,L,1,4,pt Portugal,,,43,,Domagoj Vida,4-2-3-1,Davide Massa
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,2,4,fr France,,,57,,Ivan Perišić,4-3-3,Ovidiu Hațegan
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,W,2,1,ch Switzerland,,,,,Domagoj Vida,4-2-3-1,Tiago Martins
2020-10-11,18:00 (12:00),UEFA Nations League,League A,Sun,Home,W,2,1,se Sweden,,,54,"2,020",Luka Modrić,4-3-3,John Beaton
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Home,L,1,2,fr France,,,52,"6,266",Luka Modrić,4-2-3-1,Björn Kuipers
2020-11-11,20:45 (12:45),Friendlies (M),Friendlies (M),Wed,Away,D,3,3,tr Türkiye,,,,,Domagoj Vida,4-2-3-1,Slavko Vinčič
2020-11-14,20:45 (14:45),UEFA Nations League,League A,Sat,Away,L,1,2,se Sweden,,,56,,Luka Modrić,4-2-3-1,Daniel Siebert
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,L,2,3,pt Portugal,,,41,,Luka Modrić,4-1-4-1,Michael Oliver
2021-03-24,20:45 (15:45),WCQ,First round,Wed,Away,L,0,1,si Slovenia,,,69,,Luka Modrić,4-2-3-1,Antonio Matéu Lahoz
2021-03-27,18:00 (13:00),WCQ,First round,Sat,Home,W,1,0,cy Cyprus,,,69,,Luka Modrić,4-1-4-1,Kristo Tohver
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Home,W,3,0,mt Malta,,,67,,Domagoj Vida,4-2-3-1,Lionel Tschudi
2021-06-01,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,am Armenia,,,,,Luka Modrić,4-1-4-1,Luka Bilbija
2021-06-06,20:45 (14:45),Friendlies (M),Friendlies (M),Sun,Away,L,0,1,be Belgium,,,,,Luka Modrić,4-1-4-1,Deniz Aytekin
2021-06-13,14:00 (09:00),UEFA Euro,Group stage,Sun,Neutral,L,0,1,eng England,,,51,"18,497",Luka Modrić,4-3-3,Daniele Orsato
2021-06-18,17:00 (12:00),UEFA Euro,Group stage,Fri,Neutral,D,1,1,cz Czech Republic,,,49,"5,607",Luka Modrić,4-2-3-1,Carlos del Cerro
2021-06-22,20:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,3,1,sct Scotland,,,66,"9,896",Luka Modrić,4-3-3,Fernando Rapallini
2021-06-28,18:00 (12:00),UEFA Euro,Round of 16,Mon,Neutral,L,3,5,es Spain,,,34,"22,771",Luka Modrić,4-3-3,Cüneyt Çakιr
2020-09-05,19:45 (14:45),UEFA Nations League,League A,Sat,Away,L,1,4,pt Portugal,,,43,,Domagoj Vida,4-2-3-1,Davide Massa
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,2,4,fr France,,,57,,Ivan Perišić,4-3-3,Ovidiu Hațegan
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,W,2,1,ch Switzerland,,,,,Domagoj Vida,4-2-3-1,Tiago Martins
