Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,,
2015-06-16,20:00 (10:00),WCQ,Second round,Tue,Away,W,2,1,kg Kyrgyz Republic,,,,"18,000",,,Khamis Al Marri,,
2015-09-03,19:00 (07:00),WCQ,Second round,Thu,Home,W,5,0,bd Bangladesh,,,,"19,495",,,Võ Minh Trí,,
2015-09-08,18:00 (09:00),WCQ,Second round,Tue,Away,W,3,0,tj Tajikistan,,,,"19,000",,,Jameel Juma Abdulhusain,,
2015-10-08,17:00 (10:00),WCQ,Second round,Thu,Away,L,0,2,jo Jordan,,,,"11,462",,,Masaaki Toma,,
2015-11-12,20:00 (04:00),WCQ,Second round,Thu,Home,W,3,0,kg Kyrgyz Republic,,,,"19,412",,,Kim Sangwoo,,
2015-11-17,17:30 (06:30),WCQ,Second round,Tue,Away,W,4,0,bd Bangladesh,,,,"19,730",,,Wang Di,,
2016-03-24,19:30 (05:00),WCQ,Second round,Thu,Home,W,7,0,tj Tajikistan,,,,"35,439",,,Fahad Al Marri,,
2016-03-29,20:00 (05:00),WCQ,Second round,Tue,Home,W,5,1,jo Jordan,,,,"24,975",,,Kim Jonghyeok,,
2016-09-01,18:30 (06:30),WCQ,Third round,Thu,Home,W,2,0,iq Iraq,,,,"18,923",,,Alireza Faghani,,
2016-09-06,19:30 (11:30),WCQ,Third round,Tue,Away,W,1,0,ae UAE,,,,"40,893",,,Amirul Izwan Yaacob,,
2016-10-06,20:45 (13:45),WCQ,Third round,Thu,Away,D,2,2,sa Saudi Arabia,,,,"51,616",,,Ravshan Irmatov,,
2016-10-11,20:00 (05:00),WCQ,Third round,Tue,Home,D,1,1,jp Japan,,,,"48,460",,,Nawaf Shukralla,,
2016-11-15,19:00 (07:00),WCQ,Third round,Tue,Away,D,2,2,th Thailand,,,,"36,534",,,Fahad Al Marri,,
2017-03-23,16:30 (08:00),WCQ,Third round,Thu,Away,D,1,1,iq Iraq,,,,"3,270",,,Kim Jonghyeok,,
2017-03-28,20:00 (05:00),WCQ,Third round,Tue,Home,W,2,0,ae UAE,,,,"27,328",,,Ahmed Al Kaf,,
2017-06-08,19:30 (06:00),WCQ,Third round,Thu,Home,W,3,2,sa Saudi Arabia,,,,"29,875",,,Ravshan Irmatov,,
2017-08-31,19:35 (06:35),WCQ,Third round,Thu,Away,L,0,2,jp Japan,,,,"59,492",,,Alireza Faghani,,
2017-09-05,20:00 (06:00),WCQ,Third round,Tue,Home,W,2,1,th Thailand,,,,"26,393",,,Liu Kwok Man,,
2017-10-05,20:30 (08:30),WCQ,Fourth round,Thu,Away,D,1,1,sy Syria,,,,"2,150",,,Alireza Faghani,,
2017-10-10,20:00 (05:00),WCQ,Fourth round,Tue,Home,W,2,1,sy Syria,,,,"42,136",,,Ravshan Irmatov,,
2018-03-23,18:00 (13:00),Friendlies (M),Friendlies (M),Fri,Away,L,1,4,no Norway,,,,"5,871",Mile Jedinak,4-2-3-1,Andreas Ekberg,,
2018-03-27,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,D,0,0,co Colombia,,,,,Mile Jedinak,4-2-3-1,Robert Madley,,
2018-06-01,13:00 (07:00),Friendlies (M),Friendlies (M),Fri,Home,W,4,0,cz Czech Republic,,,,656,Trent Sainsbury,4-1-4-1,Alexander Harkam,,
2018-06-09,17:30 (11:30),Friendlies (M),Friendlies (M),Sat,Away,W,2,1,hu Hungary,,,,"8,000",Trent Sainsbury,4-2-3-1,Matej Jug,,
2018-06-16,13:00 (06:00),FIFA World Cup,Group stage,Sat,Neutral,L,1,2,fr France,1.0,1.3,45,"41,279",Mile Jedinak,4-4-1-1,Andrés Cunha,,
2018-06-21,16:00 (08:00),FIFA World Cup,Group stage,Thu,Neutral,D,1,1,dk Denmark,1.3,0.8,53,"40,727",Mile Jedinak,4-4-1-1,Antonio Matéu Lahoz,,
2018-06-26,17:00 (10:00),FIFA World Cup,Group stage,Tue,Neutral,L,0,2,pe Peru,0.9,0.2,58,"44,073",Mile Jedinak,4-4-1-1,Sergey Karasev,,
2018-10-15,19:30 (12:30),Friendlies (M),Friendlies (M),Mon,Away,W,4,0,kw Kuwait,,,,,Mark Milligan,4-1-4-1,Yaqoob Said Abdul Baqi,,
2018-11-17,18:50 (03:50),Friendlies (M),Friendlies (M),Sat,Home,D,1,1,kr Korea Republic,,,,"32,922",Mark Milligan,4-2-3-1,Jumpei Iida,,
2018-11-20,19:50 (03:50),Friendlies (M),Friendlies (M),Tue,Home,W,3,0,lb Lebanon,,,,,Trent Sainsbury,4-2-3-1,Ryūji Satō,,
2018-12-30,16:00 (07:00),Friendlies (M),Friendlies (M),Sun,Neutral,W,5,0,om Oman,,,,,Mark Milligan,4-2-3-1,Omar Mohamed Al Ali,,
2017-03-23,16:30 (08:00),WCQ,Third round,Thu,Away,D,1,1,iq Iraq,,,,"3,270",,,Kim Jonghyeok,,
2017-03-28,20:00 (05:00),WCQ,Third round,Tue,Home,W,2,0,ae UAE,,,,"27,328",,,Ahmed Al Kaf,,
2017-06-08,19:30 (06:00),WCQ,Third round,Thu,Home,W,3,2,sa Saudi Arabia,,,,"29,875",,,Ravshan Irmatov,,
2017-06-13,20:05 (06:05),Friendlies (M),Friendlies (M),Tue,Home,L,0,4,br Brazil,,,,"49,874",Tim Cahill,3-2-4-1,Mark Clattenburg,,
2017-06-19,18:00 (11:00),FIFA Confederations Cup,Group stage,Mon,Neutral,L,2,3,de Germany,,,47,"28,605",Mark Milligan,3-4-3,Mark Geiger,,
2017-06-22,18:00 (11:00),FIFA Confederations Cup,Group stage,Thu,Neutral,D,1,1,cm Cameroon,,,57,"35,021",Mark Milligan,3-4-3,Milorad Mažić,,
2017-06-25,18:00 (11:00),FIFA Confederations Cup,Group stage,Sun,Neutral,D,1,1,cl Chile,,,46,"33,639",Mark Milligan,3-4-3,Gianluca Rocchi,,
2017-08-31,19:35 (06:35),WCQ,Third round,Thu,Away,L,0,2,jp Japan,,,,"59,492",,,Alireza Faghani,,
2017-09-05,20:00 (06:00),WCQ,Third round,Tue,Home,W,2,1,th Thailand,,,,"26,393",,,Liu Kwok Man,,
2017-10-05,20:30 (08:30),WCQ,Fourth round,Thu,Away,D,1,1,sy Syria,,,,"2,150",,,Alireza Faghani,,
2017-10-10,20:00 (05:00),WCQ,Fourth round,Tue,Home,W,2,1,sy Syria,,,,"42,136",,,Ravshan Irmatov,,
2015-01-09,20:00 (04:00),Asian Cup,Group stage,Fri,Neutral,W,4,1,kw Kuwait,,,62,"25,231",Mile Jedinak,4-1-4-1,Ravshan Irmatov,,
2015-01-13,20:00 (04:00),Asian Cup,Group stage,Tue,Neutral,W,4,0,om Oman,,,70,"50,276",Tim Cahill,4-1-4-1,Ryūji Satō,,
2015-01-17,19:00 (04:00),Asian Cup,Group stage,Sat,Neutral,L,0,1,kr Korea Republic,,,67,"48,513",Mark Milligan,4-1-4-1,Nawaf Shukralla,,
2015-01-22,20:30 (05:30),Asian Cup,Quarter-finals,Thu,Neutral,W,2,0,cn China PR,,,66,"46,067",Mile Jedinak,4-1-4-1,Kim Jonghyeok,,
2015-01-27,20:00 (04:00),Asian Cup,Semi-finals,Tue,Neutral,W,2,0,ae UAE,,,53,"21,079",Mile Jedinak,4-1-4-1,Ravshan Irmatov,,
2015-01-31,20:00 (04:00),Asian Cup,Final,Sat,Neutral,W,2,1,kr Korea Republic,,,53,"76,385",Mile Jedinak,4-1-4-1,Alireza Faghani,,
2015-03-25,20:30 (15:30),Friendlies (M),Friendlies (M),Wed,Away,D,2,2,de Germany,,,,"47,106",Mile Jedinak,4-1-4-1,Michael Oliver,,
2015-03-30,21:00 (15:00),Friendlies (M),Friendlies (M),Mon,Away,D,0,0,mk N. Macedonia,,,,"1,000",Mile Jedinak,4-1-4-1,Edin Jakupović,,
2015-06-16,20:00 (10:00),WCQ,Second round,Tue,Away,W,2,1,kg Kyrgyz Republic,,,,"18,000",,,Khamis Al Marri,,
2015-09-03,19:00 (07:00),WCQ,Second round,Thu,Home,W,5,0,bd Bangladesh,,,,"19,495",,,Võ Minh Trí,,
2015-09-08,18:00 (09:00),WCQ,Second round,Tue,Away,W,3,0,tj Tajikistan,,,,"19,000",,,Jameel Juma Abdulhusain,,
2015-10-08,17:00 (10:00),WCQ,Second round,Thu,Away,L,0,2,jo Jordan,,,,"11,462",,,Masaaki Toma,,
