Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-09-07,17:00 (12:00),WCQ,Second round,Tue,Away,W,3,1,cg Congo,,,,,Kalidou Koulibaly,4-2-3-1,Mohamed Ali Moussa,Match Report,
2021-10-09,19:00 (15:00),WCQ,Second round,Sat,Home,W,4,1,na Namibia,,,,,Kalidou Koulibaly,4-2-3-1,Kalilou Traoré,Match Report,
2021-10-12,15:00 (09:00),WCQ,Second round,Tue,Away,W,3,1,na Namibia,,,,,Kalidou Koulibaly,4-2-3-1,Athoumani Mohamed,Match Report,
2021-11-11,19:00 (14:00),WCQ,Second round,Thu,Away,D,1,1,tg Togo,,,,,Kalidou Koulibaly,4-2-3-1,Jalal Jiyed,Match Report,
2021-11-14,19:00 (14:00),WCQ,Second round,Sun,Home,W,2,0,cg Congo,,,,,Kalidou Koulibaly,4-2-2-2,Fabrício Duarte,Match Report,
2022-01-10,14:00 (08:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,1,0,zw Zimbabwe,,,61,,Idrissa Gana Gueye,4-1-4-1,Mario Escobar,Match Report,
2022-01-14,14:00 (08:00),Africa Cup of Nations,Group stage,Fri,Neutral,D,0,0,gn Guinea,,,49,,Sadio Mané,4-2-3-1,Bamlak Tessema,Match Report,
2022-01-18,17:00 (11:00),Africa Cup of Nations,Group stage,Tue,Neutral,D,0,0,mw Malawi,,,78,,Kalidou Koulibaly,4-1-4-1,Blaise Ngwa,Match Report,
2022-01-25,17:00 (11:00),Africa Cup of Nations,Round of 16,Tue,Neutral,W,2,0,cv Cape Verde,,,64,"10,155",Kalidou Koulibaly,4-1-4-1,Lahlou Benbraham,Match Report,
2022-01-30,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sun,Neutral,W,3,1,gq Equ. Guinea,,,44,"17,262",Kalidou Koulibaly,4-1-4-1,Victor Gomes,Match Report,
2022-02-02,20:00 (14:00),Africa Cup of Nations,Semi-finals,Wed,Neutral,W,3,1,bf Burkina Faso,,,52,,Kalidou Koulibaly,4-1-4-1,Bamlak Tessema,Match Report,
2022-02-06,20:00 (14:00),Africa Cup of Nations,Final,Sun,Neutral,D,0 (4),0 (2),eg Egypt,,,57,,Kalidou Koulibaly,4-1-4-1,Victor Gomes,Match Report,Senegal won on penalty kicks following extra time
2020-10-09,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Away,L,1,3,ma Morocco,,,,,Idrissa Gana Gueye,4-1-4-1,Mahamadou Keita,Match Report,
2020-11-11,16:00 (11:00),Africa Cup of Nations qualification,Group stage,Wed,Home,W,2,0,gw Guinea-Bissau,,,,,Kalidou Koulibaly,4-1-4-1,Eric Otogo-Castane,Match Report,
2020-11-15,16:00 (11:00),Africa Cup of Nations qualification,Group stage,Sun,Away,W,1,0,gw Guinea-Bissau,,,,,Kalidou Koulibaly,4-1-4-1,Adil Zourak,Match Report,
2017-06-10,21:00 (17:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,gq Equ. Guinea,,,,"1,652",Kara Mbodji,4-4-2,Rédouane Jiyed,Match Report,
2018-09-09,14:30 (07:30),Africa Cup of Nations qualification,Group stage,Sun,Away,D,2,2,mg Madagascar,,,,,Cheikhou Kouyaté,4-2-3-1,Joshua Bondo,Match Report,
2018-10-13,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,sd Sudan,,,,,Cheikhou Kouyaté,4-2-3-1,Bamlak Tessema,Match Report,
2018-10-16,19:30 (13:30),Africa Cup of Nations qualification,Group stage,Tue,Away,W,1,0,sd Sudan,,,,,Cheikhou Kouyaté,4-2-2-2,Mustapha Ghorbal,Match Report,
2018-11-17,16:00 (10:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,gq Equ. Guinea,,,,,Cheikhou Kouyaté,4-1-4-1,Mahmoud Zakaria El Banna,Match Report,
2019-03-23,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,2,0,mg Madagascar,,,,,Sadio Mané,4-2-3-1,Youssef Essrairi,Match Report,
2019-03-26,17:00 (13:00),Friendlies (M),Friendlies (M),Tue,Home,W,2,1,ml Mali,,,,,Cheikhou Kouyaté,4-1-4-1,Mathioro Diabel,Match Report,
2019-06-16,17:30 (11:30),Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ng Nigeria,,,,,,,Mahmoud Ashour,Match Report,
2019-06-23,19:00 (13:00),Africa Cup of Nations,Group stage,Sun,Neutral,W,2,0,tz Tanzania,,,64,,Idrissa Gana Gueye,4-4-2,Sadok Selmi,Match Report,
2019-06-27,19:00 (13:00),Africa Cup of Nations,Group stage,Thu,Neutral,L,0,1,dz Algeria,,,55,,Cheikhou Kouyaté,4-2-2-2,Janny Sikazwe,Match Report,
2019-07-01,21:00 (15:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,3,0,ke Kenya,,,66,,Cheikhou Kouyaté,4-2-3-1,Gehad Grisha,Match Report,
2019-07-05,21:00 (15:00),Africa Cup of Nations,Round of 16,Fri,Neutral,W,1,0,ug Uganda,,,54,,Cheikhou Kouyaté,4-2-3-1,Mustapha Ghorbal,Match Report,
2019-07-10,18:00 (12:00),Africa Cup of Nations,Quarter-finals,Wed,Neutral,W,1,0,bj Benin,,,63,,Cheikhou Kouyaté,4-2-3-1,Mustapha Ghorbal,Match Report,
2019-07-14,18:00 (12:00),Africa Cup of Nations,Semi-finals,Sun,Neutral,W,1,0,tn Tunisia,,,51,,Cheikhou Kouyaté,4-3-2-1,Bamlak Tessema,Match Report,Required Extra Time
2019-07-19,21:00 (15:00),Africa Cup of Nations,Final,Fri,Neutral,L,0,1,dz Algeria,,,62,,Cheikhou Kouyaté,4-2-3-1,Alioum Alioum,Match Report,
2019-10-10,20:00 (08:00),Friendlies (M),Friendlies (M),Thu,Away,D,1,1,br Brazil,,,,,Cheikhou Kouyaté,4-1-4-1,Taqi Aljaafari Jahari,Match Report,
2019-11-13,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Wed,Home,W,2,0,cg Congo,,,,,Kalidou Koulibaly,4-1-4-1,Gehad Grisha,Match Report,
2019-11-17,15:00 (08:00),Africa Cup of Nations qualification,Group stage,Sun,Away,W,4,1,sz Eswatini,,,,,Kalidou Koulibaly,4-2-2-2,Nehemia Shoovaleka,Match Report,
2015-11-13,14:30 (06:30),WCQ,Second round,Fri,Away,D,2,2,mg Madagascar,,,,,Cheikhou Kouyaté,,Hudu Munyemana,Match Report,Leg 1 of 2
2015-11-17,19:00 (14:00),WCQ,Second round,Tue,Home,W,3,0,mg Madagascar,,,,,Cheikhou Kouyaté,,Joshua Bondo,Match Report,Leg 2 of 2; Senegal won
2016-10-08,20:00 (16:00),WCQ,Third round,Sat,Home,W,2,0,cv Cape Verde,,,,"60,000",Cheikhou Kouyaté,,Youssef Essrairi,Match Report,
2017-09-02,20:00 (16:00),WCQ,Third round,Sat,Home,D,0,0,bf Burkina Faso,,,,,Kara Mbodji,,Joshua Bondo,Match Report,
2017-09-05,18:00 (14:00),WCQ,Third round,Tue,Away,D,2,2,bf Burkina Faso,,,,,Cheikhou Kouyaté,,Janny Sikazwe,Match Report,
2017-10-07,16:30 (13:30),WCQ,Third round,Sat,Away,W,2,0,cv Cape Verde,,,,,Cheikhou Kouyaté,,Gehad Grisha,Match Report,
2017-11-10,19:00 (12:00),WCQ,Third round,Fri,Away,W,2,0,za South Africa,,,,,Cheikhou Kouyaté,,Joseph Odartei Lamptey,Match Report,
2017-11-14,19:30 (14:30),WCQ,Third round,Tue,Home,W,2,1,za South Africa,,,,,Cheikhou Kouyaté,,Bamlak Tessema,Match Report,
2018-03-23,16:30 (12:30),Friendlies (M),Friendlies (M),Fri,Home,D,1,1,uz Uzbekistan,,,,"2,200",Cheikh N'Doye,3-4-3,Noureddine El Jaafari,Match Report,
2018-03-27,20:00 (14:00),Friendlies (M),Friendlies (M),Tue,Home,D,0,0,ba Bosnia & Herz'na,,,,"2,851",Sadio Mané,3-4-1-2,Stephan Klossner,Match Report,
2018-05-31,20:00 (14:00),Friendlies (M),Friendlies (M),Thu,Away,D,0,0,lu Luxembourg,,,,"3,816",Cheikhou Kouyaté,4-2-3-1,Javier Estrada,Match Report,
2018-06-08,18:00 (12:00),Friendlies (M),Friendlies (M),Fri,Away,L,1,2,hr Croatia,,,,"15,998",Sadio Mané,4-4-2,Ádám Farkas,Match Report,
2018-06-11,15:30 (09:30),Friendlies (M),Friendlies (M),Mon,Away,W,2,0,kr Korea Republic,,,,,Cheikhou Kouyaté,4-1-4-1,Harald Lechner,Match Report,
2018-06-19,18:00 (11:00),FIFA World Cup,Group stage,Tue,Neutral,W,2,1,pl Poland,1.0,0.8,39,"44,190",Sadio Mané,4-4-2,Nawaf Shukralla,Match Report,
2018-06-24,20:00 (11:00),FIFA World Cup,Group stage,Sun,Neutral,D,2,2,jp Japan,1.4,0.9,44,"32,572",Sadio Mané,4-1-4-1,Gianluca Rocchi,Match Report,
2018-06-28,18:00 (10:00),FIFA World Cup,Group stage,Thu,Neutral,L,0,1,co Colombia,0.5,0.3,41,"41,970",Cheikhou Kouyaté,4-4-2,Milorad Mažić,Match Report,
