Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-06-27,21:00 (15:00),UEFA Euro,Round of 16,Sun,Neutral,L,0,1,be Belgium,1.4,0.2,57,"11,504",Cristiano Ronaldo,4-3-3,Felix Brych
2021-09-01,19:45 (14:45),WCQ,First round,Wed,Home,W,2,1,ie Rep. of Ireland,,,72,"7,831",Cristiano Ronaldo,4-3-3,Matej Jug
2021-09-04,18:45 (12:45),Friendlies (M),Friendlies (M),Sat,Away,W,3,1,qa Qatar,,,,,João Moutinho,4-1-4-1,Gergő Bogár
2021-09-07,20:00 (12:00),WCQ,First round,Tue,Away,W,3,0,az Azerbaijan,,,67,"20,574",João Moutinho,4-3-3,Marco Guida
2021-10-09,20:15 (15:15),Friendlies (M),Friendlies (M),Sat,Home,W,3,0,qa Qatar,,,,,Cristiano Ronaldo,4-1-4-1,Fedayi San
2021-10-12,19:45 (14:45),WCQ,First round,Tue,Home,W,5,0,lu Luxembourg,,,55,"18,553",Cristiano Ronaldo,4-3-3,Benoît Bastien
2021-11-11,19:45 (14:45),WCQ,First round,Thu,Away,D,0,0,ie Rep. of Ireland,,,51,"50,737",Cristiano Ronaldo,4-3-3,Jesús Gil
2021-11-14,19:45 (14:45),WCQ,First round,Sun,Home,L,1,2,rs Serbia,,,43,"58,873",Cristiano Ronaldo,4-3-3,Daniele Orsato
2020-09-05,19:45 (14:45),UEFA Nations League,League A,Sat,Home,W,4,1,hr Croatia,,,57,,João Moutinho,4-3-3,Davide Massa
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Away,W,2,0,se Sweden,,,67,,Cristiano Ronaldo,4-3-3,Danny Makkelie
2020-10-07,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,0,0,es Spain,,,,,Cristiano Ronaldo,4-3-3,Paolo Valeri
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Away,D,0,0,fr France,,,51,"1,000",Cristiano Ronaldo,4-3-3,Carlos del Cerro
2020-10-14,19:45 (14:45),UEFA Nations League,League A,Wed,Home,W,3,0,se Sweden,,,49,"5,000",Pepe,4-1-4-1,Srđan Jovanović
2020-11-11,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,7,0,ad Andorra,,,,,João Moutinho,4-1-4-1,Alain Bieri
2020-11-14,19:45 (14:45),UEFA Nations League,League A,Sat,Home,L,0,1,fr France,,,50,,Cristiano Ronaldo,4-2-3-1,Tobias Stieler
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Away,W,3,2,hr Croatia,,,60,,Cristiano Ronaldo,4-3-3,Michael Oliver
2021-03-24,19:45 (15:45),WCQ,First round,Wed,Home,W,1,0,az Azerbaijan,,,67,,Cristiano Ronaldo,4-3-3,Daniel Siebert
2021-03-27,20:45 (15:45),WCQ,First round,Sat,Away,D,2,2,rs Serbia,,,56,,Cristiano Ronaldo,4-3-3,Danny Makkelie
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Away,W,3,1,lu Luxembourg,,,57,,Cristiano Ronaldo,4-3-3,Sergey Ivanov
